基因名,在共享基因中,在HVG并集中,在HVG交集中,HVG样本数,HVG比例
CTU2,True,True,False,1,0.03125
PODXL,True,True,False,1,0.03125
HLA-DMA,True,True,False,10,0.3125
ATP6V0D1,True,True,False,3,0.09375
BGN,True,True,False,4,0.125
GNAS,True,True,False,1,0.03125
STRN3,True,True,False,1,0.03125
PAQR4,True,True,False,1,0.03125
MPND,True,True,False,20,0.625
METTL12,True,True,False,3,0.09375
SLC9A3R2,True,False,False,0,0.0
CLDN3,True,True,False,1,0.03125
TBXAS1,True,True,False,7,0.21875
EFHD2,True,True,False,4,0.125
APOBEC3G,True,False,False,0,0.0
LRWD1,True,True,False,1,0.03125
HLA-DPA1,True,True,False,11,0.34375
ZNF592,True,True,False,2,0.0625
ZG16B,True,True,False,4,0.125
NIT2,True,True,False,17,0.53125
INPP4B,True,True,False,2,0.0625
C4orf48,True,True,False,12,0.375
CPVL,True,True,False,5,0.15625
TCEA2,True,True,False,6,0.1875
CCDC167,True,True,False,1,0.03125
MUCL1,True,True,False,16,0.5
MGMT,True,True,False,5,0.15625
AKAP9,True,True,False,7,0.21875
TXN2,True,True,False,2,0.0625
YIPF4,True,True,False,1,0.03125
RASSF3,True,True,False,3,0.09375
HSPA4,True,True,False,2,0.0625
SGTA,True,True,False,2,0.0625
MLST8,True,True,False,1,0.03125
MFAP4,True,True,False,7,0.21875
FAIM2,True,True,False,2,0.0625
TM7SF2,True,True,False,3,0.09375
EXD3,True,True,False,4,0.125
SLFN13,True,True,False,5,0.15625
ARID5B,True,True,False,2,0.0625
EPHB3,True,True,False,1,0.03125
CCL2,True,True,False,5,0.15625
FAM118A,True,True,False,1,0.03125
SMG9,True,True,False,3,0.09375
MS4A6A,True,True,False,3,0.09375
PIGQ,True,False,False,0,0.0
KLF9,True,True,False,1,0.03125
ITGA5,True,True,False,3,0.09375
C1S,True,True,False,4,0.125
NANS,True,True,False,3,0.09375
AGPAT2,True,True,False,1,0.03125
MST1R,True,True,False,2,0.0625
ARF5,True,True,False,1,0.03125
S100A14,True,True,False,3,0.09375
SEMA3B,True,True,False,7,0.21875
LMF1,True,True,False,9,0.28125
ZFP36,True,True,False,1,0.03125
CHFR,True,False,False,0,0.0
CFDP1,True,True,False,4,0.125
DDB2,True,True,False,1,0.03125
AVEN,True,True,False,2,0.0625
TDRD3,True,True,False,12,0.375
RAB11FIP1,True,True,False,1,0.03125
SLC22A18,True,True,False,6,0.1875
SRSF5,True,False,False,0,0.0
DNAJC7,True,True,False,2,0.0625
NTMT1,True,True,False,5,0.15625
SLC4A5,True,True,False,2,0.0625
HLA-B,True,True,False,6,0.1875
EXOSC2,True,False,False,0,0.0
MVP,True,True,False,7,0.21875
NUP214,True,True,False,11,0.34375
VIM,True,True,False,5,0.15625
PTGDS,True,True,False,25,0.78125
COL6A2,True,True,False,2,0.0625
CPNE1,True,True,False,1,0.03125
PDCD5,True,True,False,13,0.40625
IGLC7,True,True,False,22,0.6875
EXOSC10,True,True,False,21,0.65625
TSR2,True,True,False,2,0.0625
ATG12,True,True,False,1,0.03125
ALG3,True,True,False,1,0.03125
HYI,True,True,False,1,0.03125
CCNE2,True,False,False,0,0.0
JAK1,True,False,False,0,0.0
ZMYND8,True,True,False,3,0.09375
UBAP2L,True,True,False,1,0.03125
C5orf38,True,True,False,5,0.15625
JCHAIN,True,True,False,24,0.75
FNBP4,True,True,False,8,0.25
TRIM22,True,True,False,5,0.15625
DPP9,True,True,False,4,0.125
NDUFA1,True,True,False,10,0.3125
MORC2,True,True,False,1,0.03125
MIF,True,True,False,1,0.03125
IL10RA,True,True,False,3,0.09375
ATP5O,True,True,False,4,0.125
RASA2,True,True,False,4,0.125
SCD,True,True,False,6,0.1875
KCTD10,True,True,False,1,0.03125
NDUFS1,True,True,False,4,0.125
UCK1,True,True,False,1,0.03125
FUOM,True,True,False,7,0.21875
CD52,True,True,False,14,0.4375
MED25,True,True,False,9,0.28125
RSL1D1,True,True,False,2,0.0625
TMEM259,True,True,False,1,0.03125
NEK7,True,True,False,2,0.0625
FAP,True,True,False,5,0.15625
PPM1G,True,True,False,1,0.03125
SPSB1,True,True,False,5,0.15625
KRT17,True,True,False,15,0.46875
S100A9,True,True,False,9,0.28125
BABAM1,True,False,False,0,0.0
ZNF771,True,True,False,3,0.09375
RNASET2,True,True,False,2,0.0625
IGHM,True,True,False,18,0.5625
STAT5A,True,True,False,5,0.15625
COX5A,True,True,False,10,0.3125
KPNB1,True,True,False,2,0.0625
MKNK1,True,True,False,2,0.0625
C19orf52,True,True,False,1,0.03125
ADI1,True,False,False,0,0.0
AGO2,True,True,False,3,0.09375
RGS1,True,True,False,1,0.03125
IFI27L1,True,True,False,8,0.25
MAPKAPK5,True,True,False,3,0.09375
LYL1,True,True,False,5,0.15625
MUS81,True,True,False,1,0.03125
CAMTA2,True,True,False,3,0.09375
GBP1,True,True,False,4,0.125
ASL,True,True,False,3,0.09375
TIGD5,True,True,False,1,0.03125
TMEM101,True,True,False,7,0.21875
HOOK3,True,True,False,15,0.46875
KMT2E,True,True,False,15,0.46875
EIF3B,True,True,False,2,0.0625
ELOF1,True,True,False,3,0.09375
MZT2A,True,True,False,6,0.1875
GPR108,True,True,False,3,0.09375
KIAA1211L,True,True,False,1,0.03125
MCTS1,True,True,False,4,0.125
TYROBP,True,True,False,14,0.4375
C19orf60,True,True,False,12,0.375
ACER3,True,True,False,6,0.1875
RAB3GAP1,True,True,False,2,0.0625
C3,True,True,False,18,0.5625
PLVAP,True,True,False,7,0.21875
SURF1,True,True,False,6,0.1875
LIMCH1,True,True,False,4,0.125
P4HA2,True,True,False,2,0.0625
WDR34,True,True,False,4,0.125
PRPSAP1,True,True,False,3,0.09375
NXN,True,True,False,2,0.0625
FKBP10,True,True,False,1,0.03125
PTOV1,True,True,False,7,0.21875
MED13L,True,True,False,5,0.15625
RBM42,True,True,False,2,0.0625
BOK,True,True,False,3,0.09375
C12orf45,True,True,False,9,0.28125
SPAG9,True,True,False,5,0.15625
BCAM,True,False,False,0,0.0
FKBP8,True,False,False,0,0.0
SNAPC3,True,True,False,3,0.09375
ZNF791,True,True,False,8,0.25
AP5B1,True,True,False,4,0.125
GPRC5A,True,True,False,5,0.15625
TAX1BP1,True,True,False,3,0.09375
MICAL1,True,True,False,12,0.375
ZNF337,True,False,False,0,0.0
PTPRC,True,True,False,6,0.1875
RALBP1,True,True,False,6,0.1875
ZMAT5,True,True,False,5,0.15625
GSTM3,True,True,False,5,0.15625
PHF21A,True,True,False,4,0.125
CD14,True,True,False,7,0.21875
PDGFRB,True,True,False,4,0.125
PRPF6,True,True,False,6,0.1875
SRGN,True,True,False,3,0.09375
MRPL2,True,True,False,2,0.0625
CES2,True,True,False,5,0.15625
FSTL3,True,True,False,2,0.0625
IGHA1,True,True,False,15,0.46875
SCAF1,True,True,False,1,0.03125
TRIM47,True,True,False,2,0.0625
MRPL51,True,True,False,1,0.03125
XPO6,True,True,False,2,0.0625
SOS2,True,True,False,4,0.125
POLR2J,True,True,False,5,0.15625
MAP1S,True,True,False,6,0.1875
PNMT,True,True,False,13,0.40625
SP6,True,True,False,5,0.15625
SIGMAR1,True,True,False,1,0.03125
DNAJB2,True,True,False,3,0.09375
SASH1,True,True,False,3,0.09375
EVA1B,True,True,False,5,0.15625
CDK5RAP1,True,True,False,6,0.1875
IKZF3,True,True,False,2,0.0625
BIRC2,True,True,False,1,0.03125
MGP,True,True,False,11,0.34375
IFI44L,True,True,False,5,0.15625
SNTA1,True,True,False,4,0.125
PWP1,True,True,False,2,0.0625
DCAF6,True,True,False,2,0.0625
EIF1AD,True,True,False,2,0.0625
SAT1,True,True,False,1,0.03125
BCL2L12,True,True,False,6,0.1875
ASNS,True,True,False,2,0.0625
RMND1,True,True,False,6,0.1875
SRSF1,True,True,False,1,0.03125
ABCA7,True,True,False,2,0.0625
CTDSPL,True,False,False,0,0.0
KIF13B,True,True,False,4,0.125
NMRAL1,True,True,False,3,0.09375
POR,True,False,False,0,0.0
MRPL54,True,True,False,6,0.1875
MAP3K14,True,True,False,4,0.125
GPX3,True,True,False,8,0.25
ARHGEF10L,True,True,False,2,0.0625
TSPAN33,True,True,False,1,0.03125
PCIF1,True,False,False,0,0.0
SNX8,True,True,False,3,0.09375
ZFAND3,True,False,False,0,0.0
COPS7A,True,False,False,0,0.0
HES1,True,False,False,0,0.0
PDGFRA,True,True,False,5,0.15625
ETFB,True,True,False,10,0.3125
PSTPIP1,True,True,False,10,0.3125
MYO1G,True,True,False,10,0.3125
CCT4,True,True,False,7,0.21875
ABCA3,True,True,False,3,0.09375
CDH11,True,True,False,1,0.03125
COL4A1,True,True,False,9,0.28125
RBL1,True,True,False,3,0.09375
MIB2,True,True,False,6,0.1875
PODNL1,True,True,False,4,0.125
PLK1,True,True,False,1,0.03125
FASN,True,True,False,3,0.09375
AP5Z1,True,True,False,2,0.0625
RHOB,True,True,False,1,0.03125
SCX,True,True,False,3,0.09375
LAMTOR2,True,True,False,1,0.03125
PPP1R37,True,True,False,1,0.03125
BAIAP3,True,True,False,2,0.0625
ABHD14A,True,True,False,3,0.09375
AEBP1,True,True,False,7,0.21875
MAGOHB,True,True,False,1,0.03125
XIAP,True,True,False,1,0.03125
SLC2A1,True,True,False,2,0.0625
TEX10,True,True,False,6,0.1875
MAPK9,True,False,False,0,0.0
ISG15,True,True,False,13,0.40625
TPM2,True,True,False,20,0.625
AAMDC,True,True,False,7,0.21875
KIAA1715,True,True,False,1,0.03125
PKNOX1,True,True,False,3,0.09375
HLA-DPB1,True,True,False,22,0.6875
PYURF,True,False,False,0,0.0
TARBP1,True,True,False,4,0.125
A2M,True,True,False,23,0.71875
SOX4,True,True,False,3,0.09375
CCDC80,True,True,False,8,0.25
SMYD2,True,True,False,3,0.09375
PUS3,True,True,False,4,0.125
CORO1B,True,True,False,2,0.0625
LST1,True,True,False,8,0.25
SEMA4B,True,False,False,0,0.0
ENPP1,True,True,False,7,0.21875
IGFBP2,True,True,False,6,0.1875
PIM2,True,True,False,1,0.03125
SSSCA1,True,True,False,3,0.09375
PLSCR1,True,True,False,4,0.125
GMFG,True,True,False,23,0.71875
GEMIN4,True,True,False,4,0.125
BSG,True,True,False,1,0.03125
EBAG9,True,True,False,1,0.03125
VWF,True,True,False,19,0.59375
FGFR1,True,True,False,4,0.125
ANKRD28,True,True,False,2,0.0625
RECQL5,True,True,False,2,0.0625
CGGBP1,True,False,False,0,0.0
ARHGEF3,True,False,False,0,0.0
TMEM86A,True,False,False,0,0.0
EXOSC1,True,True,False,7,0.21875
ZSWIM8,True,True,False,1,0.03125
HDAC6,True,True,False,1,0.03125
ANKLE2,True,True,False,6,0.1875
TRAPPC4,True,False,False,0,0.0
ARNT,True,True,False,1,0.03125
PILRA,True,True,False,4,0.125
KIAA1217,True,True,False,1,0.03125
HDAC5,True,True,False,6,0.1875
TFF3,True,True,False,13,0.40625
MFSD7,True,True,False,2,0.0625
FAM173A,True,True,False,1,0.03125
TNNT1,True,True,False,9,0.28125
DOCK6,True,True,False,8,0.25
ANGPTL4,True,True,False,3,0.09375
THOC6,True,True,False,3,0.09375
ARFGEF2,True,True,False,5,0.15625
COMMD1,True,True,False,4,0.125
SCNN1D,True,True,False,1,0.03125
CLDN4,True,True,False,2,0.0625
ERI3,True,False,False,0,0.0
KRT86,True,True,False,6,0.1875
LAMB2,True,True,False,3,0.09375
FUS,True,True,False,5,0.15625
METTL16,True,True,False,6,0.1875
PIH1D1,True,True,False,10,0.3125
HCFC1R1,True,True,False,1,0.03125
KCNAB2,True,True,False,4,0.125
PTPRJ,True,False,False,0,0.0
LARP1B,True,True,False,5,0.15625
PAF1,True,True,False,6,0.1875
MYH10,True,True,False,2,0.0625
ABCF3,True,True,False,1,0.03125
GLTSCR2,True,True,False,28,0.875
REEP6,True,True,False,3,0.09375
IGHG3,True,True,False,11,0.34375
C10orf54,True,True,False,5,0.15625
CX3CL1,True,True,False,6,0.1875
IDUA,True,True,False,4,0.125
PLK2,True,True,False,7,0.21875
SAMM50,True,True,False,9,0.28125
NDUFB9,True,False,False,0,0.0
STK17A,True,True,False,3,0.09375
CTSK,True,True,False,1,0.03125
TANC2,True,True,False,1,0.03125
MAP3K6,True,False,False,0,0.0
ERAL1,True,False,False,0,0.0
MPST,True,True,False,3,0.09375
NAA10,True,False,False,0,0.0
RAMP2,True,True,False,8,0.25
PTP4A3,True,True,False,3,0.09375
LINGO1,True,True,False,2,0.0625
EMC3,True,True,False,8,0.25
PLAC9,True,True,False,15,0.46875
EXOC5,True,True,False,1,0.03125
CRELD2,True,True,False,1,0.03125
PMP22,True,True,False,1,0.03125
PLTP,True,True,False,4,0.125
ZNF524,True,True,False,1,0.03125
NCKAP1L,True,True,False,2,0.0625
APOC1,True,True,False,14,0.4375
PPP1R1B,True,True,False,13,0.40625
PLIN2,True,True,False,2,0.0625
ZNF362,True,True,False,4,0.125
THOC5,True,True,False,12,0.375
GLG1,True,True,False,3,0.09375
AKR1A1,True,True,False,9,0.28125
PPIB,True,True,False,8,0.25
BRK1,True,False,False,0,0.0
VCAM1,True,True,False,3,0.09375
AGAP2,True,True,False,5,0.15625
SEC23A,True,True,False,2,0.0625
SLC9A8,True,True,False,1,0.03125
PRKAB1,True,True,False,1,0.03125
IGHG4,True,True,False,15,0.46875
HCST,True,True,False,13,0.40625
PEX14,True,True,False,2,0.0625
SYK,True,True,False,1,0.03125
TRIM25,True,False,False,0,0.0
PWWP2B,True,True,False,2,0.0625
FSTL1,True,True,False,2,0.0625
RIOK1,True,True,False,3,0.09375
FZD2,True,True,False,1,0.03125
FN1,True,True,False,7,0.21875
GSK3A,True,True,False,3,0.09375
BRF1,True,True,False,5,0.15625
VPS45,True,True,False,2,0.0625
FAM102A,True,True,False,1,0.03125
TRAF5,True,True,False,2,0.0625
JAG2,True,True,False,2,0.0625
PCCB,True,True,False,7,0.21875
TTI1,True,True,False,2,0.0625
KRT10,True,True,False,1,0.03125
ZNF91,True,True,False,5,0.15625
TMX1,True,True,False,1,0.03125
IGLC2,True,True,False,12,0.375
ARID4A,True,True,False,9,0.28125
ASCL2,True,False,False,0,0.0
RSRP1,True,True,False,3,0.09375
GBP3,True,True,False,1,0.03125
UBE2W,True,True,False,1,0.03125
FARP1,True,True,False,6,0.1875
ATAD1,True,True,False,2,0.0625
DDT,True,True,False,3,0.09375
ATG16L2,True,True,False,2,0.0625
RAB3A,True,True,False,2,0.0625
LINC00176,True,True,False,2,0.0625
XAB2,True,True,False,1,0.03125
PLXND1,True,True,False,3,0.09375
ARHGAP5,True,True,False,3,0.09375
GRK3,True,True,False,2,0.0625
CCL19,True,True,False,22,0.6875
MYO9B,True,True,False,3,0.09375
BOLA3,True,True,False,7,0.21875
NSMCE1,True,True,False,11,0.34375
UQCRC1,True,True,False,10,0.3125
VARS,True,True,False,15,0.46875
CCDC57,True,True,False,7,0.21875
TEX2,True,False,False,0,0.0
CCL21,True,True,False,21,0.65625
TXNRD2,True,True,False,4,0.125
TESMIN,True,True,False,4,0.125
TMEM14B,True,True,False,1,0.03125
CD320,True,True,False,1,0.03125
RAP1B,True,True,False,3,0.09375
ABHD4,True,True,False,4,0.125
PXDN,True,False,False,0,0.0
CHST11,True,True,False,1,0.03125
OSBPL8,True,True,False,5,0.15625
PAFAH1B3,True,True,False,3,0.09375
DPH3,True,True,False,2,0.0625
FAM45A,True,True,False,3,0.09375
SLPI,True,True,False,7,0.21875
EIF3G,True,True,False,6,0.1875
SOD3,True,True,False,6,0.1875
ASNA1,True,False,False,0,0.0
FBF1,True,True,False,2,0.0625
SFSWAP,True,True,False,12,0.375
GBP4,True,True,False,4,0.125
HELZ2,True,True,False,3,0.09375
STT3A,True,True,False,1,0.03125
ITGB4,True,True,False,3,0.09375
ASMTL,True,True,False,4,0.125
NDUFB2,True,True,False,7,0.21875
GYPC,True,True,False,8,0.25
PLXNA1,True,False,False,0,0.0
PLLP,True,True,False,1,0.03125
TJP3,True,True,False,14,0.4375
APBA2,True,True,False,2,0.0625
COL3A1,True,True,False,4,0.125
NRP1,True,True,False,7,0.21875
CXCL10,True,True,False,7,0.21875
ERMP1,True,False,False,0,0.0
AGR2,True,True,False,9,0.28125
FAAH,True,False,False,0,0.0
CCM2,True,True,False,1,0.03125
INPP5J,True,True,False,1,0.03125
FAH,True,True,False,9,0.28125
THBS1,True,True,False,3,0.09375
NFIC,True,True,False,2,0.0625
PLP2,True,False,False,0,0.0
GLCCI1,True,True,False,6,0.1875
ZNF644,True,True,False,2,0.0625
HSPB11,True,True,False,12,0.375
SPARC,True,True,False,2,0.0625
NEBL,True,True,False,4,0.125
ATP5H,True,True,False,10,0.3125
KIAA0895L,True,True,False,1,0.03125
TMBIM6,True,True,False,4,0.125
SNF8,True,True,False,8,0.25
NDUFB3,True,True,False,7,0.21875
DDIT3,True,True,False,3,0.09375
KATNA1,True,True,False,3,0.09375
BAD,True,True,False,4,0.125
WDR74,True,True,False,4,0.125
PROSER1,True,True,False,3,0.09375
KIAA1468,True,True,False,4,0.125
FBLN2,True,True,False,1,0.03125
INPP5D,True,True,False,5,0.15625
ECM1,True,True,False,4,0.125
CYP27A1,True,True,False,2,0.0625
VEGFB,True,True,False,3,0.09375
C1R,True,True,False,4,0.125
KRAS,True,True,False,2,0.0625
FCER1G,True,True,False,4,0.125
MUC1,True,True,False,6,0.1875
MTMR12,True,True,False,3,0.09375
PNPLA6,True,True,False,2,0.0625
CUX1,True,True,False,1,0.03125
FOXP4,True,True,False,1,0.03125
ZDHHC12,True,True,False,1,0.03125
C10orf10,True,True,False,7,0.21875
ZNF33B,True,True,False,1,0.03125
IFI27,True,True,False,6,0.1875
TNFRSF21,True,True,False,7,0.21875
CBLC,True,True,False,12,0.375
ARHGAP4,True,True,False,7,0.21875
WIPF1,True,True,False,3,0.09375
RAB3IL1,True,True,False,4,0.125
C6orf48,True,True,False,4,0.125
ASH2L,True,True,False,3,0.09375
MRPL21,True,True,False,15,0.46875
KDM4B,True,True,False,2,0.0625
TCF25,True,True,False,2,0.0625
C6orf136,True,False,False,0,0.0
COL8A2,True,True,False,1,0.03125
RARS2,True,True,False,8,0.25
RNF170,True,True,False,2,0.0625
WDR46,True,True,False,2,0.0625
ILKAP,True,True,False,10,0.3125
TBC1D10A,True,True,False,4,0.125
BRF2,True,False,False,0,0.0
BST2,True,True,False,8,0.25
BRD9,True,False,False,0,0.0
OASL,True,True,False,6,0.1875
CHD1,True,True,False,5,0.15625
GAS6,True,True,False,3,0.09375
OPTN,True,True,False,20,0.625
DMAP1,True,True,False,8,0.25
CORO2A,True,True,False,4,0.125
DPM2,True,True,False,2,0.0625
C2CD2L,True,True,False,2,0.0625
UBA6,True,False,False,0,0.0
TBC1D23,True,True,False,2,0.0625
LUC7L3,True,True,False,8,0.25
JAK3,True,True,False,3,0.09375
CALML5,True,True,False,4,0.125
LRRC8A,True,True,False,3,0.09375
ATP6AP1,True,True,False,1,0.03125
PHF13,True,True,False,1,0.03125
LCP1,True,True,False,3,0.09375
MAVS,True,True,False,2,0.0625
MFSD3,True,True,False,3,0.09375
TRIM14,True,True,False,3,0.09375
ALDH16A1,True,True,False,8,0.25
INTS8,True,True,False,6,0.1875
LUM,True,True,False,6,0.1875
ZNF83,True,True,False,2,0.0625
ARF6,True,True,False,1,0.03125
PARN,True,True,False,2,0.0625
ISLR,True,True,False,4,0.125
GBP2,True,True,False,15,0.46875
WDFY3,True,True,False,4,0.125
ADAM15,True,True,False,4,0.125
MAP4K2,True,True,False,2,0.0625
MRPL23,True,True,False,9,0.28125
C2,True,False,False,0,0.0
CD4,True,True,False,2,0.0625
KRT8,True,True,False,1,0.03125
CUTC,True,True,False,1,0.03125
HAGHL,True,True,False,4,0.125
ACAA1,True,True,False,1,0.03125
ZFR,True,True,False,2,0.0625
LANCL1,True,True,False,2,0.0625
SLC8B1,True,True,False,1,0.03125
TRAC,True,True,False,6,0.1875
ANO10,True,True,False,3,0.09375
SIGLEC1,True,True,False,7,0.21875
OGFRL1,True,True,False,1,0.03125
BIN3,True,False,False,0,0.0
NDUFC1,True,True,False,7,0.21875
RRAS,True,True,False,1,0.03125
GATA3,True,True,False,5,0.15625
CCNB1IP1,True,True,False,1,0.03125
IER5L,True,True,False,7,0.21875
DERL3,True,True,False,2,0.0625
PNP,True,True,False,2,0.0625
TACC3,True,True,False,4,0.125
CERCAM,True,True,False,1,0.03125
NINJ1,True,False,False,0,0.0
C1orf216,True,True,False,4,0.125
TCEA3,True,True,False,4,0.125
TMEM184A,True,False,False,0,0.0
BICDL1,True,True,False,4,0.125
DCXR,True,True,False,3,0.09375
NELFE,True,True,False,12,0.375
FARSB,True,True,False,5,0.15625
PPIH,True,True,False,11,0.34375
CERS5,True,True,False,1,0.03125
GMPPA,True,True,False,2,0.0625
SH3BP5L,True,True,False,2,0.0625
ZNF668,True,False,False,0,0.0
FADS2,True,True,False,1,0.03125
NR4A1,True,True,False,4,0.125
COL14A1,True,True,False,4,0.125
PRKCSH,True,True,False,1,0.03125
HLA-DRA,True,True,False,15,0.46875
PLEKHO2,True,True,False,2,0.0625
NCKAP5L,True,True,False,2,0.0625
LIMK1,True,True,False,2,0.0625
ITSN1,True,True,False,5,0.15625
ARID5A,True,True,False,4,0.125
STMN1,True,False,False,0,0.0
FAM3A,True,True,False,3,0.09375
TNFRSF4,True,True,False,9,0.28125
GALK1,True,True,False,5,0.15625
MYL9,True,True,False,1,0.03125
SVIL,True,True,False,10,0.3125
CLU,True,True,False,3,0.09375
LCK,True,True,False,5,0.15625
SMCHD1,True,True,False,8,0.25
QSOX1,True,True,False,3,0.09375
STK4,True,True,False,3,0.09375
IGLC3,True,True,False,25,0.78125
JMJD6,True,True,False,6,0.1875
RUVBL1,True,True,False,3,0.09375
CFAP36,True,True,False,10,0.3125
EFEMP2,True,True,False,4,0.125
FAM160B1,True,False,False,0,0.0
SLC16A2,True,True,False,2,0.0625
SNX33,True,True,False,2,0.0625
MAGEF1,True,False,False,0,0.0
DENND1A,True,True,False,3,0.09375
PITX1,True,True,False,5,0.15625
UFD1L,True,True,False,12,0.375
NFATC4,True,True,False,2,0.0625
ORC2,True,True,False,2,0.0625
CROCC,True,True,False,2,0.0625
AES,True,True,False,1,0.03125
HLA-DMB,True,True,False,10,0.3125
ANKRD12,True,True,False,5,0.15625
UBA52,True,True,False,1,0.03125
SEC14L2,True,True,False,2,0.0625
PLPPR2,True,False,False,0,0.0
CD74,True,True,False,9,0.28125
CTIF,True,True,False,5,0.15625
AURKAIP1,True,True,False,1,0.03125
LGALS1,True,True,False,6,0.1875
MTG2,True,True,False,2,0.0625
TAX1BP3,True,True,False,1,0.03125
SLC25A24,True,True,False,3,0.09375
DESI1,True,True,False,1,0.03125
RECQL4,True,True,False,2,0.0625
CCDC88B,True,True,False,4,0.125
MYL12B,True,False,False,0,0.0
SRRT,True,True,False,2,0.0625
INAFM1,True,True,False,8,0.25
